Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"S4196, S-4196",Dory Previn And André Previn Conducted By John Williams (4),Valley Of The Dolls (Music From The Motion Picture Soundtrack),"20th Century Fox Records, 20th Century Fox Records","LP, Album",,1967,2660148,Uncategorized,2025-06-15 10:39:33,,,
"S4208, 4208",Jerry Goldsmith,Patton (Original Motion Picture Score),"20th Century Fox Records, 20th Century Fox Records","LP, Album",,1970,1036542,Uncategorized,2025-06-15 10:45:29,,,
T-407,Barry White,I've Got So Much To Give,20th Century Records,"LP, Album, San",,1973,554024,Uncategorized,2025-06-15 10:03:58,,,
QR 16056,Sam Cooke,The Pick Of...,51 West,"LP, Comp",,1979,6575146,Uncategorized,2026-04-07 18:06:18,,,
75002,Dr. Octagon,Dr. Octagonecologyst,75 Ark,"2xLP, Album, RE",,2001,738719,Uncategorized,2025-06-15 10:31:47,,,
SP-3631,The Flying Burrito Bros,Close Up The Honky Tonks,A&M Records,"2xLP, Comp",,1974,1585012,Uncategorized,2025-11-08 08:59:03,,,
SP-4112,Herb Alpert & The Tijuana Brass,!!Going Places!!,A&M Records,"LP, Album, Mon",,1965,373494,Uncategorized,2025-06-15 10:53:14,,,
"SP-3001, SP 3001",Wes Montgomery,A Day In The Life,"A&M Records, A&M Records","LP, Album, San",,1967,691603,Uncategorized,2025-06-15 10:13:18,,,
"SP-3502, SP 3502",Carpenters,Carpenters,"A&M Records, A&M Records","LP, Album, Ter",,1971,601009,Uncategorized,2025-06-15 10:42:36,,,
"LP110, LP-110, 110",Herb Alpert & The Tijuana Brass,Whipped Cream & Other Delights,"A&M Records, A&M Records, A&M Records","LP, Album, Mono",,1965,578954,Uncategorized,2025-06-15 10:53:05,,,
"SP-4114, SP 4114, 114",Herb Alpert & The Tijuana Brass,What Now My Love,"A&M Records, A&M Records, A&M Records","LP, Album",,1966,373490,Uncategorized,2025-06-15 09:05:06,,,
"SP-3006, LP 3006",Wes Montgomery,Down Here On The Ground,"A&M Records, CTI Records, A&M Records, CTI Records","LP, Album, Mon",,1968,3279088,Uncategorized,2025-06-15 10:12:36,,,
BTSD-6022,The Crusaders,Chain Reaction,ABC Blue Thumb,"LP, Album, San",,1975,568897,Uncategorized,2025-06-15 09:18:01,,,
AB-1006,Steely Dan,Aja,ABC Records,"LP, Album, San",,1977,1842334,Uncategorized,2025-06-15 09:57:10,,,
ABCD-846,Steely Dan,Katy Lied,ABC Records,"LP, Album, Ter",,1975,762014,Uncategorized,2025-06-15 10:46:37,,,
"ABCD-931, ABCD 931",Steely Dan,The Royal Scam,"ABC Records, ABC Records","LP, Album, San",,1976,373262,Uncategorized,2025-06-15 10:46:29,,,
AB-996/2,Isaac Hayes & Dionne Warwick,A Man And A Woman,"ABC Records, HBS","2xLP, Album, Pit",,1977,695398,Uncategorized,2025-06-15 10:08:29,,,
8626-1,Sam Cooke,Sam Cooke At The Copa,ABKCO,"LP, Album, RE, RM, 180",,2020,16137764,Uncategorized,2025-11-06 15:14:42,,,
92641,Sam Cooke,Portrait Of A Legend 1951-1964,ABKCO,"2xLP, Comp",,2003,14235099,Uncategorized,2025-11-08 08:57:37,,,
XXQLP2 078,Various,Choctaw Ridge (New Fables Of The American South 1968-1973),Ace,"2xLP, Album, Comp, Mono",,2021,19764313,Uncategorized,2025-06-15 09:48:14,,,
ASM 010,Various,Kosmos (Soundtracks Of Eastern Germany's Adventures In Space),All Score Media,"LP, Comp",,2002,1356241,Uncategorized,2025-06-15 10:41:26,,,
none,Jon Batiste,Christmas With Jon Batiste,Amazon Music (2),LP,,2017,13302893,Uncategorized,2025-12-07 10:10:43,,,
B0019197-01,Johnny Cash,American III: Solitary Man,American Recordings,"LP, Album, RE, 180",,2014,5469776,Uncategorized,2025-06-15 09:45:04,,,
AA-011,Various,Heartache In Your Hand: Startime Country,"Americana Anthropology, Startime Records","LP, Comp, Yel",,2025,33691167,Uncategorized,2025-06-15 09:17:52,,,
B0038014-01,Chappell Roan,The Rise & Fall Of A Midwest Princess,"Amusement Records (3), Island Records","LP + LP, S/Sided + Album, Dlx, Col",,2023,28461454,Uncategorized,2025-06-15 09:54:21,,,
"APRJ 7142, 7142",John Coltrane With Red Garland,Soultrane,"Analogue Productions, Prestige","LP, Album, Mono, Ltd, RE, RP, 180",,2022,21889021,Uncategorized,2025-11-08 08:56:04,,,
S-36544,"Jacqueline Du Pré, Daniel Barenboim, Johannes Brahms",The Two Sonatas For Cello And Piano,Angel Records,"LP, Album",,1969,12046139,Uncategorized,2025-07-06 10:32:50,,,
S-36544,"Johannes Brahms / Jacqueline Du Pré, Daniel Barenboim",The Two Sonatas For Cello And Piano,Angel Records,"LP, RE",,0,2951995,Uncategorized,2025-11-08 09:10:29,,,
87824-1,Neko Case,Wild Creatures,Anti-,"2xLP, Comp, Ltd, Eco",,2023,27540444,Uncategorized,2025-06-15 10:35:14,,,
87860-1,Waxahatchee,Tigers Blood,Anti-,"LP, Album, Ltd, Red",,2024,30149738,Uncategorized,2025-06-15 10:03:39,,,
87962-1,Neko Case,Neon Grey Midnight Green,Anti-,"LP, Album, Ltd, Gat",,2025,35210935,Uncategorized,2025-11-08 08:57:11,,,
87372-1SC2,Neko Case,"Truckdriver, Gladiator, Mule","Anti-, Lady Pilot","Box, Comp, Ltd + LP, Album, RE, RM, 180 + LP, Albu",,2015,7693476,Uncategorized,2025-04-27 13:35:25,,,
ANTI 87412-1,Neko Case,Hell-On,"Anti-, Lady Pilot","2xLP, Album, 180",,2018,12070040,Uncategorized,2025-06-15 10:35:06,,,
0602547567901,The Beatles,1,"Apple Records, Universal Music Group International","2xLP, Comp, RE, 180",,2015,7790160,Uncategorized,2025-06-15 09:21:36,,,
"00888072619814, none",Big Star,Radio City,"Ardent Records (2), Craft Recordings","LP, Album, Ltd, RE, Red",,2024,32122614,Uncategorized,2025-06-15 09:35:11,,,
"201 289, 201 289-320",Sparks,Terminal Jive,"Ariola, Oasis, Ariola","LP, Album",,1980,58954,Uncategorized,2025-11-08 08:53:58,,,
"AL 8-8019, AL8 8019",Aretha Franklin,Get It Right,"Arista, Arista","LP, Album, Ind",,1983,452045,Uncategorized,2025-07-06 10:20:39,,,
19658892871,Sarah McLachlan,Wintersong,"Arista, Nettwerk, Legacy, Sony Music","LP, Album, RE",,2024,31906375,Uncategorized,2025-06-15 09:38:04,,,
6E-104,Linda Ronstadt,Simple Dreams,Asylum Records,"LP, Album, PRC",,1977,2630972,Uncategorized,2025-07-06 10:29:43,,,
SD 5070,Jimmy Webb,Land's End,Asylum Records,"LP, Album, Pit",,1974,1770297,Uncategorized,2025-06-15 09:47:59,,,
"9 60260, 60260",Linda Ronstadt & Nelson Riddle And His Orchestra,What's New,"Asylum Records, Asylum Records","LP, Album, Club, RCA",,1983,11554834,Uncategorized,2025-06-15 10:05:38,,,
DP-90002,Various,Urban Cowboy (Original Motion Picture Soundtrack),"Asylum Records, Full Moon","2xLP, Album, Comp, CTH",,1980,2009521,Uncategorized,2025-06-15 09:08:18,,,
SD 2-801,Otis Redding,The Best Of Otis Redding,ATCO Records,"2xLP, Comp, RE, SP ",,1979,1355478,Uncategorized,2026-04-07 18:06:51,,,
SD 33-265,Otis Redding,Otis Redding In Person At The Whisky A Go Go,ATCO Records,"LP, Album",,1968,2139040,Uncategorized,2025-06-15 09:27:21,,,
SD 33-333,Otis Redding,Tell The Truth,ATCO Records,"LP, Album, PR ",,1970,2124425,Uncategorized,2025-06-22 12:19:20,,,
"33-161, APA 055-45",Otis Redding,Pain In My Heart,"ATCO Records, Analogue Productions","2x12"", Album, Mono, Ltd, Num, RE, RM, 180",,2025,35306632,Uncategorized,2025-11-02 09:59:32,,,
"SD 33-269, RCV1 695028 / 081227883201",Various,Soul Christmas,"ATCO Records, ATCO Records","LP, Comp, Club, Ltd, RE, Gre",,2022,24942214,Uncategorized,2025-06-15 10:57:48,,,
075678601552,Willow Avalon,Southern Belle Raisin' Hell,Atlantic,"LP, Album, Pin",,2025,33250317,Uncategorized,2025-11-08 09:04:17,,,
075678604034,Matchbox Twenty,Live 2001,Atlantic,"LP, RSD, Fla",,2025,35789251,Uncategorized,2026-04-07 18:02:14,,,
1-557538,Lizzo,Coconut Oil,Atlantic,"12"", EP, RSD, Ltd, Whi",,2019,14444462,Uncategorized,2025-06-15 11:02:16,,,
587037,Various,Solid Gold Soul,Atlantic,"LP, Comp, Mono",,1966,2980829,Uncategorized,2025-06-15 10:04:06,,,
7567-82342-2,Various,The Stax/Volt Revue • Volume 2 — Live In Paris,Atlantic,"CD, Album, RE, RM",,1991,5614967,Uncategorized,2025-05-14 13:28:32,,,
781 295-1,Various,Atlantic Rhythm & Blues 1947-1974 (Volume 3 1955-1958),Atlantic,"2xLP, Comp, Gat",,1985,4538729,Uncategorized,2025-06-25 20:22:15,,,
81282-1-Y,Otis Redding,The Best Of Otis Redding,Atlantic,"LP, Comp, AR",,0,19872937,Uncategorized,2025-06-15 09:43:23,,,
P-8621,Sam & Dave,Soul Men,Atlantic,"LP, Album, RE",,1982,2848817,Uncategorized,2026-01-18 09:09:06,,,
PR 170,Various,Whatever's Fair! (Atlantic Soul Explosion '72),Atlantic,"2xLP, Comp, Promo, Pre",,1972,1695211,Uncategorized,2026-04-07 18:09:54,,,
SD 1457,Dave Pike,Jazz For The Jet Set,Atlantic,"LP, Album",,1966,1027284,Uncategorized,2025-06-15 10:17:30,,,
SD 1534,Roland Kirk,Volunteered Slavery,Atlantic,"LP, Album, Mon",,1969,1247061,Uncategorized,2025-06-15 10:34:43,,,
