entity_id,nucleus,label,sublabel,lens_id,translator_version
discogs:2660148,2660148,Valley Of The Dolls (Music From The Motion Picture Soundtrack),Dory Previn And André Previn Conducted By John Williams · 1967,discogs_v1,1.0.0
discogs:1036542,1036542,Patton (Original Motion Picture Score),Jerry Goldsmith · 1970,discogs_v1,1.0.0
discogs:554024,554024,I've Got So Much To Give,Barry White · 1973,discogs_v1,1.0.0
discogs:6575146,6575146,The Pick Of...,Sam Cooke · 1979,discogs_v1,1.0.0
discogs:738719,738719,Dr. Octagonecologyst,Dr. Octagon · 2001,discogs_v1,1.0.0
discogs:1585012,1585012,Close Up The Honky Tonks,The Flying Burrito Bros · 1974,discogs_v1,1.0.0
discogs:373494,373494,!!Going Places!!,Herb Alpert & The Tijuana Brass · 1965,discogs_v1,1.0.0
discogs:691603,691603,A Day In The Life,Wes Montgomery · 1967,discogs_v1,1.0.0
discogs:601009,601009,Carpenters,Carpenters · 1971,discogs_v1,1.0.0
discogs:578954,578954,Whipped Cream & Other Delights,Herb Alpert & The Tijuana Brass · 1965,discogs_v1,1.0.0
discogs:373490,373490,What Now My Love,Herb Alpert & The Tijuana Brass · 1966,discogs_v1,1.0.0
discogs:3279088,3279088,Down Here On The Ground,Wes Montgomery · 1968,discogs_v1,1.0.0
discogs:568897,568897,Chain Reaction,The Crusaders · 1975,discogs_v1,1.0.0
discogs:1842334,1842334,Aja,Steely Dan · 1977,discogs_v1,1.0.0
discogs:762014,762014,Katy Lied,Steely Dan · 1975,discogs_v1,1.0.0
discogs:373262,373262,The Royal Scam,Steely Dan · 1976,discogs_v1,1.0.0
discogs:695398,695398,A Man And A Woman,Isaac Hayes & Dionne Warwick · 1977,discogs_v1,1.0.0
discogs:16137764,16137764,Sam Cooke At The Copa,Sam Cooke · 2020,discogs_v1,1.0.0
discogs:14235099,14235099,Portrait Of A Legend 1951-1964,Sam Cooke · 2003,discogs_v1,1.0.0
discogs:19764313,19764313,Choctaw Ridge (New Fables Of The American South 1968-1973),Various · 2021,discogs_v1,1.0.0
discogs:1356241,1356241,Kosmos (Soundtracks Of Eastern Germany's Adventures In Space),Various · 2002,discogs_v1,1.0.0
discogs:13302893,13302893,Christmas With Jon Batiste,Jon Batiste · 2017,discogs_v1,1.0.0
discogs:5469776,5469776,American III: Solitary Man,Johnny Cash · 2014,discogs_v1,1.0.0
discogs:33691167,33691167,Heartache In Your Hand: Startime Country,Various · 2025,discogs_v1,1.0.0
discogs:28461454,28461454,The Rise & Fall Of A Midwest Princess,Chappell Roan · 2023,discogs_v1,1.0.0
discogs:21889021,21889021,Soultrane,John Coltrane With Red Garland · 2022,discogs_v1,1.0.0
discogs:12046139,12046139,The Two Sonatas For Cello And Piano,"Jacqueline Du Pré, Daniel Barenboim, Johannes Brahms · 1969",discogs_v1,1.0.0
discogs:2951995,2951995,The Two Sonatas For Cello And Piano,"Johannes Brahms / Jacqueline Du Pré, Daniel Barenboim",discogs_v1,1.0.0
discogs:27540444,27540444,Wild Creatures,Neko Case · 2023,discogs_v1,1.0.0
discogs:30149738,30149738,Tigers Blood,Waxahatchee · 2024,discogs_v1,1.0.0
discogs:35210935,35210935,Neon Grey Midnight Green,Neko Case · 2025,discogs_v1,1.0.0
discogs:7693476,7693476,"Truckdriver, Gladiator, Mule",Neko Case · 2015,discogs_v1,1.0.0
discogs:12070040,12070040,Hell-On,Neko Case · 2018,discogs_v1,1.0.0
discogs:7790160,7790160,1,The Beatles · 2015,discogs_v1,1.0.0
discogs:32122614,32122614,Radio City,Big Star · 2024,discogs_v1,1.0.0
discogs:58954,58954,Terminal Jive,Sparks · 1980,discogs_v1,1.0.0
discogs:452045,452045,Get It Right,Aretha Franklin · 1983,discogs_v1,1.0.0
discogs:31906375,31906375,Wintersong,Sarah McLachlan · 2024,discogs_v1,1.0.0
discogs:2630972,2630972,Simple Dreams,Linda Ronstadt · 1977,discogs_v1,1.0.0
discogs:1770297,1770297,Land's End,Jimmy Webb · 1974,discogs_v1,1.0.0
discogs:11554834,11554834,What's New,Linda Ronstadt & Nelson Riddle And His Orchestra · 1983,discogs_v1,1.0.0
discogs:2009521,2009521,Urban Cowboy (Original Motion Picture Soundtrack),Various · 1980,discogs_v1,1.0.0
discogs:1355478,1355478,The Best Of Otis Redding,Otis Redding · 1979,discogs_v1,1.0.0
discogs:2139040,2139040,Otis Redding In Person At The Whisky A Go Go,Otis Redding · 1968,discogs_v1,1.0.0
discogs:2124425,2124425,Tell The Truth,Otis Redding · 1970,discogs_v1,1.0.0
discogs:35306632,35306632,Pain In My Heart,Otis Redding · 2025,discogs_v1,1.0.0
discogs:24942214,24942214,Soul Christmas,Various · 2022,discogs_v1,1.0.0
discogs:33250317,33250317,Southern Belle Raisin' Hell,Willow Avalon · 2025,discogs_v1,1.0.0
discogs:35789251,35789251,Live 2001,Matchbox Twenty · 2025,discogs_v1,1.0.0
discogs:14444462,14444462,Coconut Oil,Lizzo · 2019,discogs_v1,1.0.0
discogs:2980829,2980829,Solid Gold Soul,Various · 1966,discogs_v1,1.0.0
discogs:5614967,5614967,The Stax/Volt Revue • Volume 2 — Live In Paris,Various · 1991,discogs_v1,1.0.0
discogs:4538729,4538729,Atlantic Rhythm & Blues 1947-1974 (Volume 3 1955-1958),Various · 1985,discogs_v1,1.0.0
discogs:19872937,19872937,The Best Of Otis Redding,Otis Redding,discogs_v1,1.0.0
discogs:2848817,2848817,Soul Men,Sam & Dave · 1982,discogs_v1,1.0.0
discogs:1695211,1695211,Whatever's Fair! (Atlantic Soul Explosion '72),Various · 1972,discogs_v1,1.0.0
discogs:1027284,1027284,Jazz For The Jet Set,Dave Pike · 1966,discogs_v1,1.0.0
discogs:1247061,1247061,Volunteered Slavery,Roland Kirk · 1969,discogs_v1,1.0.0
discogs:316990,316990,Layers,Les McCann · 1974,discogs_v1,1.0.0
discogs:1367989,1367989,Is It In,Eddie Harris · 1974,discogs_v1,1.0.0
discogs:1253662,1253662,Angst In My Pants,Sparks · 1982,discogs_v1,1.0.0
discogs:856308,856308,The Soul Years,Various · 1973,discogs_v1,1.0.0
discogs:1388594,1388594,"Soul To Soul (Music From The Original Soundtrack - Recorded Live In Ghana, West Africa)",Various · 1971,discogs_v1,1.0.0
discogs:6455010,6455010,The Drifters' Golden Hits,The Drifters · 1968,discogs_v1,1.0.0
discogs:2196094,2196094,History Of Rhythm & Blues Volume 1: The Roots 1947-52,Various · 1968,discogs_v1,1.0.0
discogs:3555832,3555832,History Of Rhythm & Blues - Volume 2: The Golden Years 1953-55,Various · 1968,discogs_v1,1.0.0
discogs:3254565,3254565,History Of Rhythm & Blues Volume 3 Rock & Roll 1956-57,Various · 1968,discogs_v1,1.0.0
discogs:11046303,11046303,This Is Soul,Various · 1968,discogs_v1,1.0.0
discogs:1884661,1884661,The Super Hits Vol. 2,Various · 1968,discogs_v1,1.0.0
discogs:5934607,5934607,The Best Of Booker T. & The MGs,Booker T & The MG's · 1968,discogs_v1,1.0.0
discogs:2196525,2196525,History Of Rhythm & Blues  Volume 8  The Memphis Sound 1967,Various · 1969,discogs_v1,1.0.0
discogs:858058,858058,The Best Of Sam & Dave,Sam & Dave · 1969,discogs_v1,1.0.0
discogs:3776054,3776054,The Best Of Sam & Dave,Sam & Dave · 1969,discogs_v1,1.0.0
discogs:4601972,4601972,The Super Hits Vol. 4,Various · 1969,discogs_v1,1.0.0
discogs:4432146,4432146,The Best Of Carla Thomas,Carla Thomas · 1969,discogs_v1,1.0.0
discogs:2303748,2303748,Right On,Wilson Pickett · 1970,discogs_v1,1.0.0
discogs:531999,531999,Outlaw,Eugene McDaniels · 1970,discogs_v1,1.0.0
discogs:23257064,23257064,The Super Hits Volume 5,Various,discogs_v1,1.0.0
discogs:3357816,3357816,The Super Hits Volume 5,Various,discogs_v1,1.0.0
discogs:2044943,2044943,Headless Heroes Of The Apocalypse,Eugene McDaniels · 1971,discogs_v1,1.0.0
discogs:2616121,2616121,The Best Of Wilson Pickett Vol. II,Wilson Pickett · 1971,discogs_v1,1.0.0
discogs:6186915,6186915,Aretha's Greatest Hits,Aretha Franklin · 1971,discogs_v1,1.0.0
discogs:5605451,5605451,Untitled,Led Zeppelin · 1971,discogs_v1,1.0.0
discogs:2923822,2923822,Songs Of Faith & Inspiration,The Sweet Inspirations · 1968,discogs_v1,1.0.0
discogs:2240842,2240842,Soul Machine The Latest Biggest Soul-Hits,Various · 1969,discogs_v1,1.0.0
discogs:32491761,32491761,Black On Black,Paul Cauthen · 2024,discogs_v1,1.0.0
discogs:1078710,1078710,This Is Soul,Various · 1968,discogs_v1,1.0.0
discogs:2167827,2167827,Atlantic Rhythm & Blues 1947-1974 (Volume 1 1947-1952),Various · 1985,discogs_v1,1.0.0
discogs:2244305,2244305,Atlantic Rhythm & Blues 1947-1974 (Volume 2 1952-1955),Various · 1985,discogs_v1,1.0.0
discogs:2167889,2167889,Atlantic Rhythm & Blues 1947-1974 (Volume 3 1955-1958),Various · 1985,discogs_v1,1.0.0
discogs:2673743,2673743,Atlantic Rhythm & Blues 1947-1974 (Volume 4 1958-1962),Various · 1985,discogs_v1,1.0.0
