entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
discogs:2660148,what,title,Valley Of The Dolls (Music From The Motion Picture Soundtrack),WHAT|title|Valley Of The Dolls (Music From The Motion Picture Soundtrack),discogs_v1,1.0.0
discogs:2660148,what,catalog_no,S4196,WHAT|catalog_no|S4196,discogs_v1,1.0.0
discogs:2660148,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:2660148,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:1036542,what,title,Patton (Original Motion Picture Score),WHAT|title|Patton (Original Motion Picture Score),discogs_v1,1.0.0
discogs:1036542,what,catalog_no,S4208,WHAT|catalog_no|S4208,discogs_v1,1.0.0
discogs:1036542,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:1036542,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:554024,what,title,I've Got So Much To Give,WHAT|title|I've Got So Much To Give,discogs_v1,1.0.0
discogs:554024,what,catalog_no,T-407,WHAT|catalog_no|T-407,discogs_v1,1.0.0
discogs:554024,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:554024,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:6575146,what,title,The Pick Of...,WHAT|title|The Pick Of...,discogs_v1,1.0.0
discogs:6575146,what,catalog_no,QR 16056,WHAT|catalog_no|QR 16056,discogs_v1,1.0.0
discogs:6575146,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:6575146,what,pressing_type,Comp,WHAT|pressing_type|Comp,discogs_v1,1.0.0
discogs:738719,what,title,Dr. Octagonecologyst,WHAT|title|Dr. Octagonecologyst,discogs_v1,1.0.0
discogs:738719,what,catalog_no,75002,WHAT|catalog_no|75002,discogs_v1,1.0.0
discogs:738719,what,format,2xLP,WHAT|format|2xLP,discogs_v1,1.0.0
discogs:738719,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:738719,what,pressing_type,RE,WHAT|pressing_type|RE,discogs_v1,1.0.0
discogs:1585012,what,title,Close Up The Honky Tonks,WHAT|title|Close Up The Honky Tonks,discogs_v1,1.0.0
discogs:1585012,what,catalog_no,SP-3631,WHAT|catalog_no|SP-3631,discogs_v1,1.0.0
discogs:1585012,what,format,2xLP,WHAT|format|2xLP,discogs_v1,1.0.0
discogs:1585012,what,pressing_type,Comp,WHAT|pressing_type|Comp,discogs_v1,1.0.0
discogs:373494,what,title,!!Going Places!!,WHAT|title|!!Going Places!!,discogs_v1,1.0.0
discogs:373494,what,catalog_no,SP-4112,WHAT|catalog_no|SP-4112,discogs_v1,1.0.0
discogs:373494,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:373494,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:373494,what,color,Mono,WHAT|color|Mono,discogs_v1,1.0.0
discogs:691603,what,title,A Day In The Life,WHAT|title|A Day In The Life,discogs_v1,1.0.0
discogs:691603,what,catalog_no,SP-3001,WHAT|catalog_no|SP-3001,discogs_v1,1.0.0
discogs:691603,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:691603,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:601009,what,title,Carpenters,WHAT|title|Carpenters,discogs_v1,1.0.0
discogs:601009,what,catalog_no,SP-3502,WHAT|catalog_no|SP-3502,discogs_v1,1.0.0
discogs:601009,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:601009,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:578954,what,title,Whipped Cream & Other Delights,WHAT|title|Whipped Cream & Other Delights,discogs_v1,1.0.0
discogs:578954,what,catalog_no,LP110,WHAT|catalog_no|LP110,discogs_v1,1.0.0
discogs:578954,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:578954,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:578954,what,mix,Mono,WHAT|mix|Mono,discogs_v1,1.0.0
discogs:373490,what,title,What Now My Love,WHAT|title|What Now My Love,discogs_v1,1.0.0
discogs:373490,what,catalog_no,SP-4114,WHAT|catalog_no|SP-4114,discogs_v1,1.0.0
discogs:373490,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:373490,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:3279088,what,title,Down Here On The Ground,WHAT|title|Down Here On The Ground,discogs_v1,1.0.0
discogs:3279088,what,catalog_no,SP-3006,WHAT|catalog_no|SP-3006,discogs_v1,1.0.0
discogs:3279088,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
discogs:3279088,what,pressing_type,Album,WHAT|pressing_type|Album,discogs_v1,1.0.0
discogs:3279088,what,color,Mono,WHAT|color|Mono,discogs_v1,1.0.0
discogs:568897,what,title,Chain Reaction,WHAT|title|Chain Reaction,discogs_v1,1.0.0
discogs:568897,what,catalog_no,BTSD-6022,WHAT|catalog_no|BTSD-6022,discogs_v1,1.0.0
discogs:568897,what,format,LP,WHAT|format|LP,discogs_v1,1.0.0
