entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
discogs:2660148,who,artist,Dory Previn And André Previn Conducted By John Williams,WHO|artist|Dory Previn And André Previn Conducted By John Williams,discogs_v1,1.0.0
discogs:2660148,who,label,20th Century Fox Records,WHO|label|20th Century Fox Records,discogs_v1,1.0.0
discogs:1036542,who,artist,Jerry Goldsmith,WHO|artist|Jerry Goldsmith,discogs_v1,1.0.0
discogs:1036542,who,label,20th Century Fox Records,WHO|label|20th Century Fox Records,discogs_v1,1.0.0
discogs:554024,who,artist,Barry White,WHO|artist|Barry White,discogs_v1,1.0.0
discogs:554024,who,label,20th Century Records,WHO|label|20th Century Records,discogs_v1,1.0.0
discogs:6575146,who,artist,Sam Cooke,WHO|artist|Sam Cooke,discogs_v1,1.0.0
discogs:6575146,who,label,51 West,WHO|label|51 West,discogs_v1,1.0.0
discogs:738719,who,artist,Dr. Octagon,WHO|artist|Dr. Octagon,discogs_v1,1.0.0
discogs:738719,who,label,75 Ark,WHO|label|75 Ark,discogs_v1,1.0.0
discogs:1585012,who,artist,The Flying Burrito Bros,WHO|artist|The Flying Burrito Bros,discogs_v1,1.0.0
discogs:1585012,who,label,A&M Records,WHO|label|A&M Records,discogs_v1,1.0.0
discogs:373494,who,artist,Herb Alpert & The Tijuana Brass,WHO|artist|Herb Alpert & The Tijuana Brass,discogs_v1,1.0.0
discogs:373494,who,label,A&M Records,WHO|label|A&M Records,discogs_v1,1.0.0
discogs:691603,who,artist,Wes Montgomery,WHO|artist|Wes Montgomery,discogs_v1,1.0.0
discogs:691603,who,label,A&M Records,WHO|label|A&M Records,discogs_v1,1.0.0
discogs:601009,who,artist,Carpenters,WHO|artist|Carpenters,discogs_v1,1.0.0
discogs:601009,who,label,A&M Records,WHO|label|A&M Records,discogs_v1,1.0.0
discogs:578954,who,artist,Herb Alpert & The Tijuana Brass,WHO|artist|Herb Alpert & The Tijuana Brass,discogs_v1,1.0.0
discogs:578954,who,label,A&M Records,WHO|label|A&M Records,discogs_v1,1.0.0
discogs:373490,who,artist,Herb Alpert & The Tijuana Brass,WHO|artist|Herb Alpert & The Tijuana Brass,discogs_v1,1.0.0
discogs:373490,who,label,A&M Records,WHO|label|A&M Records,discogs_v1,1.0.0
discogs:3279088,who,artist,Wes Montgomery,WHO|artist|Wes Montgomery,discogs_v1,1.0.0
discogs:3279088,who,label,A&M Records,WHO|label|A&M Records,discogs_v1,1.0.0
discogs:3279088,who,label,CTI Records,WHO|label|CTI Records,discogs_v1,1.0.0
discogs:568897,who,artist,The Crusaders,WHO|artist|The Crusaders,discogs_v1,1.0.0
discogs:568897,who,label,ABC Blue Thumb,WHO|label|ABC Blue Thumb,discogs_v1,1.0.0
discogs:1842334,who,artist,Steely Dan,WHO|artist|Steely Dan,discogs_v1,1.0.0
discogs:1842334,who,label,ABC Records,WHO|label|ABC Records,discogs_v1,1.0.0
discogs:762014,who,artist,Steely Dan,WHO|artist|Steely Dan,discogs_v1,1.0.0
discogs:762014,who,label,ABC Records,WHO|label|ABC Records,discogs_v1,1.0.0
discogs:373262,who,artist,Steely Dan,WHO|artist|Steely Dan,discogs_v1,1.0.0
discogs:373262,who,label,ABC Records,WHO|label|ABC Records,discogs_v1,1.0.0
discogs:695398,who,artist,Isaac Hayes & Dionne Warwick,WHO|artist|Isaac Hayes & Dionne Warwick,discogs_v1,1.0.0
discogs:695398,who,label,ABC Records,WHO|label|ABC Records,discogs_v1,1.0.0
discogs:695398,who,label,HBS,WHO|label|HBS,discogs_v1,1.0.0
discogs:16137764,who,artist,Sam Cooke,WHO|artist|Sam Cooke,discogs_v1,1.0.0
discogs:16137764,who,label,ABKCO,WHO|label|ABKCO,discogs_v1,1.0.0
discogs:14235099,who,artist,Sam Cooke,WHO|artist|Sam Cooke,discogs_v1,1.0.0
discogs:14235099,who,label,ABKCO,WHO|label|ABKCO,discogs_v1,1.0.0
discogs:19764313,who,artist,Various,WHO|artist|Various,discogs_v1,1.0.0
discogs:19764313,who,label,Ace,WHO|label|Ace,discogs_v1,1.0.0
discogs:1356241,who,artist,Various,WHO|artist|Various,discogs_v1,1.0.0
discogs:1356241,who,label,All Score Media,WHO|label|All Score Media,discogs_v1,1.0.0
discogs:13302893,who,artist,Jon Batiste,WHO|artist|Jon Batiste,discogs_v1,1.0.0
discogs:13302893,who,label,Amazon Music (2),WHO|label|Amazon Music (2),discogs_v1,1.0.0
discogs:5469776,who,artist,Johnny Cash,WHO|artist|Johnny Cash,discogs_v1,1.0.0
discogs:5469776,who,label,American Recordings,WHO|label|American Recordings,discogs_v1,1.0.0
discogs:33691167,who,artist,Various,WHO|artist|Various,discogs_v1,1.0.0
discogs:33691167,who,label,Americana Anthropology,WHO|label|Americana Anthropology,discogs_v1,1.0.0
discogs:33691167,who,label,Startime Records,WHO|label|Startime Records,discogs_v1,1.0.0
discogs:28461454,who,artist,Chappell Roan,WHO|artist|Chappell Roan,discogs_v1,1.0.0
discogs:28461454,who,label,Amusement Records (3),WHO|label|Amusement Records (3),discogs_v1,1.0.0
discogs:28461454,who,label,Island Records,WHO|label|Island Records,discogs_v1,1.0.0
discogs:21889021,who,artist,John Coltrane With Red Garland,WHO|artist|John Coltrane With Red Garland,discogs_v1,1.0.0
discogs:21889021,who,label,Analogue Productions,WHO|label|Analogue Productions,discogs_v1,1.0.0
discogs:21889021,who,label,Prestige,WHO|label|Prestige,discogs_v1,1.0.0
discogs:12046139,who,artist,"Jacqueline Du Pré, Daniel Barenboim, Johannes Brahms","WHO|artist|Jacqueline Du Pré, Daniel Barenboim, Johannes Brahms",discogs_v1,1.0.0
discogs:12046139,who,label,Angel Records,WHO|label|Angel Records,discogs_v1,1.0.0
discogs:2951995,who,artist,"Johannes Brahms / Jacqueline Du Pré, Daniel Barenboim","WHO|artist|Johannes Brahms / Jacqueline Du Pré, Daniel Barenboim",discogs_v1,1.0.0
discogs:2951995,who,label,Angel Records,WHO|label|Angel Records,discogs_v1,1.0.0
discogs:27540444,who,artist,Neko Case,WHO|artist|Neko Case,discogs_v1,1.0.0
discogs:27540444,who,label,Anti-,WHO|label|Anti-,discogs_v1,1.0.0
discogs:30149738,who,artist,Waxahatchee,WHO|artist|Waxahatchee,discogs_v1,1.0.0
discogs:30149738,who,label,Anti-,WHO|label|Anti-,discogs_v1,1.0.0
discogs:35210935,who,artist,Neko Case,WHO|artist|Neko Case,discogs_v1,1.0.0
discogs:35210935,who,label,Anti-,WHO|label|Anti-,discogs_v1,1.0.0
discogs:7693476,who,artist,Neko Case,WHO|artist|Neko Case,discogs_v1,1.0.0
discogs:7693476,who,label,Anti-,WHO|label|Anti-,discogs_v1,1.0.0
discogs:7693476,who,label,Lady Pilot,WHO|label|Lady Pilot,discogs_v1,1.0.0
discogs:12070040,who,artist,Neko Case,WHO|artist|Neko Case,discogs_v1,1.0.0
discogs:12070040,who,label,Anti-,WHO|label|Anti-,discogs_v1,1.0.0
discogs:12070040,who,label,Lady Pilot,WHO|label|Lady Pilot,discogs_v1,1.0.0
discogs:7790160,who,artist,The Beatles,WHO|artist|The Beatles,discogs_v1,1.0.0
discogs:7790160,who,label,Apple Records,WHO|label|Apple Records,discogs_v1,1.0.0
discogs:7790160,who,label,Universal Music Group International,WHO|label|Universal Music Group International,discogs_v1,1.0.0
discogs:32122614,who,artist,Big Star,WHO|artist|Big Star,discogs_v1,1.0.0
discogs:32122614,who,label,Ardent Records (2),WHO|label|Ardent Records (2),discogs_v1,1.0.0
discogs:32122614,who,label,Craft Recordings,WHO|label|Craft Recordings,discogs_v1,1.0.0
discogs:58954,who,artist,Sparks,WHO|artist|Sparks,discogs_v1,1.0.0
discogs:58954,who,label,Ariola,WHO|label|Ariola,discogs_v1,1.0.0
discogs:58954,who,label,Oasis,WHO|label|Oasis,discogs_v1,1.0.0
discogs:452045,who,artist,Aretha Franklin,WHO|artist|Aretha Franklin,discogs_v1,1.0.0
discogs:452045,who,label,Arista,WHO|label|Arista,discogs_v1,1.0.0
discogs:31906375,who,artist,Sarah McLachlan,WHO|artist|Sarah McLachlan,discogs_v1,1.0.0
discogs:31906375,who,label,Arista,WHO|label|Arista,discogs_v1,1.0.0
discogs:31906375,who,label,Nettwerk,WHO|label|Nettwerk,discogs_v1,1.0.0
discogs:31906375,who,label,Legacy,WHO|label|Legacy,discogs_v1,1.0.0
discogs:31906375,who,label,Sony Music,WHO|label|Sony Music,discogs_v1,1.0.0
discogs:2630972,who,artist,Linda Ronstadt,WHO|artist|Linda Ronstadt,discogs_v1,1.0.0
discogs:2630972,who,label,Asylum Records,WHO|label|Asylum Records,discogs_v1,1.0.0
discogs:1770297,who,artist,Jimmy Webb,WHO|artist|Jimmy Webb,discogs_v1,1.0.0
discogs:1770297,who,label,Asylum Records,WHO|label|Asylum Records,discogs_v1,1.0.0
discogs:11554834,who,artist,Linda Ronstadt & Nelson Riddle And His Orchestra,WHO|artist|Linda Ronstadt & Nelson Riddle And His Orchestra,discogs_v1,1.0.0
discogs:11554834,who,label,Asylum Records,WHO|label|Asylum Records,discogs_v1,1.0.0
discogs:2009521,who,artist,Various,WHO|artist|Various,discogs_v1,1.0.0
discogs:2009521,who,label,Asylum Records,WHO|label|Asylum Records,discogs_v1,1.0.0
discogs:2009521,who,label,Full Moon,WHO|label|Full Moon,discogs_v1,1.0.0
discogs:1355478,who,artist,Otis Redding,WHO|artist|Otis Redding,discogs_v1,1.0.0
discogs:1355478,who,label,ATCO Records,WHO|label|ATCO Records,discogs_v1,1.0.0
discogs:2139040,who,artist,Otis Redding,WHO|artist|Otis Redding,discogs_v1,1.0.0
discogs:2139040,who,label,ATCO Records,WHO|label|ATCO Records,discogs_v1,1.0.0
discogs:2124425,who,artist,Otis Redding,WHO|artist|Otis Redding,discogs_v1,1.0.0
discogs:2124425,who,label,ATCO Records,WHO|label|ATCO Records,discogs_v1,1.0.0
discogs:35306632,who,artist,Otis Redding,WHO|artist|Otis Redding,discogs_v1,1.0.0
discogs:35306632,who,label,ATCO Records,WHO|label|ATCO Records,discogs_v1,1.0.0
discogs:35306632,who,label,Analogue Productions,WHO|label|Analogue Productions,discogs_v1,1.0.0
discogs:24942214,who,artist,Various,WHO|artist|Various,discogs_v1,1.0.0
discogs:24942214,who,label,ATCO Records,WHO|label|ATCO Records,discogs_v1,1.0.0
discogs:33250317,who,artist,Willow Avalon,WHO|artist|Willow Avalon,discogs_v1,1.0.0
